Check,Away,Home,Check,,network,time,mediaindicator,,,
0,Purdue,Northwestern,0,,ESPN Plus,10/14/2006 12:00,T,,,
0,USF,North Carolina,0,,ESPNU,10/14/2006 12:00,T,,,
0,Wake Forest,NC State,0,,Raycom/LF Sports,10/14/2006 12:00,T,,,
0,Syracuse,West Virginia,0,,ESPN Plus,10/14/2006 12:00,T,,,
0,Iowa St.,Oklahoma,0,,FSN HD,10/14/2006 12:30,T,,,
0,Vanderbilt,Georgia,0,,Lincoln Financial Sports,10/14/2006 12:30,T,,,
0,Rutgers,Navy,0,,CSTV,10/14/2006 13:30,T,,,
0,Northern Illinois,Western Michigan,0,,MAC TV,10/14/2006 14:00,T,,,
0,Utah,Wyoming,0,,The mtn.,10/14/2006 15:00,T,,,
0,Tulsa,East Carolina,0,,,10/14/2006 15:00,W,,,
0,Ohio St.,Michigan St.,0,,ABC HD,10/14/2006 15:30,T,,,
0,Missouri,Texas A&M,0,,ABC,10/14/2006 15:30,T,,,
0,Cincinnati,Louisville,0,,ESPNU,10/14/2006 15:30,T,,,
0,Maryland,Virginia,0,,ESPN360,10/14/2006 15:30,W,,,
0,Ole Miss,Alabama,0,,CBS HD,10/14/2006 15:30,T,,,
0,Toledo,Kent St.,0,,,10/14/2006 16:00,W,,,
0,UL-Monroe,Troy,0,,ESPN Plus,10/14/2006 16:00,T,,,
0,Hawai'i,Fresno St.,0,,KFREKFVE,10/14/2006 17:00,T,,,
0,Utah St.,San Jose St.,0,,,10/14/2006 18:00,W,,,
0,Idaho,Louisiana Tech,0,,,10/14/2006 19:00,W,,,
0,FIU,Miami (FL),0,,CSS Replay Feed,10/14/2006 19:00,T,,,
0,Baylor,Texas,0,,TBS,10/14/2006 19:00,T,,,
0,Nebraska,Kansas St.,0,,FSN PPV,10/14/2006 19:00,T,,,
0,Ohio,Illinois,0,,ESPN360,10/14/2006 19:00,W,,,
0,Houston,Southern Miss,0,,,10/14/2006 19:00,W,,,
0,UAB,Rice,0,,CSTV,10/14/2006 19:30,T,,,
0,Florida,Auburn,0,,ESPN HD,10/14/2006 19:45,T,,,
0,Kentucky,LSU,0,,,10/14/2006 20:00,W,,,
0,New Mexico,UNLV,0,,The mtn.,10/14/2006 20:00,T,,,
0,Michigan,Penn St.,0,,ABC HD,10/14/2006 20:00,T,,,
0,Tulane,UTEP,0,,,10/14/2006 21:00,W,,,
0,Boise St.,New Mexico St.,0,,ESPN HD,10/15/2006 20:00,T,,,
0,UL-Lafayette,FAU,0,,ESPN2 HD,10/18/2006 19:30,T,,,
0,Bowling Green,Central Michigan,0,,ESPNU,10/19/2006 19:30,T,,,
0,North Carolina,Virginia,0,,ESPN HD,10/19/2006 19:30,T,,,
0,Utah,New Mexico,0,,The mtn.,10/19/2006 21:00,T,,,
0,West Virginia,Connecticut,0,,ESPN HD,10/20/2006 20:00,T,,,
0,Louisville,Syracuse,0,,ESPN Plus,10/21/2006 12:00,T,,,
0,Texas,Nebraska,0,,ABC HD,10/21/2006 12:00,T,,,
0,NC State,Maryland,0,,Raycom/LF Sports,10/21/2006 12:00,T,,,
0,Wisconsin,Purdue,0,,ESPN HD,10/21/2006 12:00,T,,,
0,Illinois,Penn St.,0,,ESPN2 HD,10/21/2006 12:00,T,,,
0,Indiana,Ohio St.,0,,ESPNU,10/21/2006 12:00,T,,,
0,Michigan St.,Northwestern,0,,ESPN Plus,10/21/2006 12:00,T,,,
0,Ole Miss,Arkansas,0,,Lincoln Financial Sports,10/21/2006 12:30,T,,,
0,Miami (FL),Duke,0,,ESPN360,10/21/2006 13:00,W,,,
0,Western Michigan,Ball St.,0,,Comcast Local,10/21/2006 14:00,T,,,
0,Buffalo,Ohio,0,,,10/21/2006 14:00,W,,,
0,Western Michigan,Ball St.,0,,,10/21/2006 14:00,W,,,
0,UCLA,Notre Dame,0,,NBC HD,10/21/2006 14:30,T,,,
0,SMU,East Carolina,0,,,10/21/2006 15:00,W,,,
0,Toledo,Eastern Michigan,0,,MAC TV,10/21/2006 15:00,T,,,
0,Temple,Northern Illinois,0,,CSN Chicago,10/21/2006 15:00,T,,,
0,UNLV,BYU,0,,The mtn.,10/21/2006 15:00,T,,,
0,South Carolina,Vanderbilt,0,,ESPN Plus PPV,10/21/2006 15:00,T,,,
0,Alabama,Tennessee,0,,CBS HD,10/21/2006 15:30,T,,,
0,TCU,Army,0,,ESPNU,10/21/2006 15:30,T,,,
0,Iowa,Michigan,0,,ABC HD,10/21/2006 15:30,T,,,
0,North Dakota St.,Minnesota,0,,ESPN Plus,10/21/2006 15:30,T,,,
0,Boston College,Florida St.,0,,ABC,10/21/2006 15:30,T,,,
0,Colorado St.,Wyoming,0,,CSTV,10/21/2006 16:00,T,,,
0,Boise St.,Idaho,0,,KTVB,10/21/2006 17:00,T,,,
0,Rutgers,Pittsburgh,0,,ESPN2 HD,10/21/2006 17:45,T,,,
0,Miami (OH),Akron,0,,ESPN360,10/21/2006 18:00,W,,,
0,San Jose St.,Nevada,0,,ABC,10/21/2006 19:00,T,,,
0,Utah St.,Louisiana Tech,0,,ESPN Plus,10/21/2006 19:00,T,,,
0,North Texas,Arkansas St.,0,,ESPN Plus,10/21/2006 19:00,T,,,
0,Colorado,Oklahoma,0,,FSN,10/21/2006 19:00,T,,,
0,Southern Miss,Virginia Tech,0,,ESPNU,10/21/2006 19:00,T,,,
0,Marshall,UAB,0,,WOWK,10/21/2006 19:00,T,,,
0,Georgia Tech,Clemson,0,,ESPN HD,10/21/2006 19:45,T,,,
0,Tulsa,Memphis,0,,CSTV,10/21/2006 20:00,T,,,
0,Houston,UTEP,0,,Time Warner-El Paso,10/21/2006 20:00,T,,,
0,Hawai'i,New Mexico St.,0,,Oceanic PPV,10/21/2006 20:00,T,,,
0,Air Force,San Diego St.,0,,The mtn.,10/21/2006 20:00,T,,,
0,Fresno St.,LSU,0,,ESPN2 HD,10/21/2006 21:00,T,,,
0,USF,Cincinnati,0,,ESPN HD,10/22/2006 20:00,T,,,
0,Clemson,Virginia Tech,0,,ESPN HD,10/26/2006 19:30,T,,,
0,UTEP,Tulsa,0,,ESPN2 HD,10/27/2006 20:00,T,,,
0,Penn St.,Purdue,0,,ABC,10/28/2006 12:00,T,,,
0,Northwestern,Michigan,0,,ESPN HD,10/28/2006 12:00,T,,,
0,Illinois,Wisconsin,0,,ESPN2 HD,10/28/2006 12:00,T,,,
0,Northern Illinois,Iowa,0,,ESPNU,10/28/2006 12:00,T,,,
0,Michigan St.,Iowa,0,,ESPN Plus,10/28/2006 12:00,T,,,
0,NC State,Virginia,0,,Raycom/LF Sports,10/28/2006 12:00,T,,,
0,Syracuse,Cincinnati,0,,ESPN Plus,10/28/2006 12:00,T,,,
0,Oklahoma,Missouri,0,,ABC HD,10/28/2006 12:00,T,,,
0,Auburn,Ole Miss,0,,Lincoln Financial Sports,10/28/2006 12:30,T,,,
0,Buffalo,Boston College,0,,ESPN360,10/28/2006 13:00,W,,,
0,Navy,Tulane,0,,,10/28/2006 14:00,W,,,
0,BYU,Air Force,0,,Versus,10/28/2006 14:00,T,,,
0,Ohio,Kent St.,0,,MAC TV,10/28/2006 14:00,T,,,
0,Ball St.,Miami (OH),0,,ONN,10/28/2006 14:00,T,,,
0,FIU,Alabama,0,,Crimson Tide PPV,10/28/2006 15:00,T,,,
0,Eastern Michigan,Western Michigan,0,,Comcast Local,10/28/2006 15:30,T,,,
0,North Texas,Troy,0,,ESPN Plus,10/28/2006 15:30,T,,,
0,UCF,Houston,0,,CSTV,10/28/2006 15:30,T,,,
0,Minnesota,Ohio St.,0,,ABC,10/28/2006 15:30,T,,,
0,Miami (FL),Georgia Tech,0,,ABC HD,10/28/2006 15:30,T,,,
0,Wake Forest,North Carolina,0,,ESPNU,10/28/2006 15:30,T,,,
0,Nebraska,Oklahoma St.,0,,ABC,10/28/2006 15:30,T,,,
0,New Mexico St.,Nevada,0,,AggieVision,10/28/2006 16:00,T,,,
0,Louisiana Tech,San Jose St.,0,,,10/28/2006 16:00,W,,,
0,UNLV,Utah,0,,The mtn.,10/28/2006 16:00,T,,,
0,Memphis,Marshall,0,,WOWK,10/28/2006 16:30,T,,,
0,New Mexico,Colorado St.,0,,,10/28/2006 17:30,W,,,
0,Akron,Toledo,0,,ESPN360,10/28/2006 19:00,W,,,
0,Texas,Texas Tech,0,,TBS,10/28/2006 19:00,T,,,
0,Florida St.,Maryland,0,,ESPN2 HD,10/28/2006 19:00,T,,,
0,East Carolina,Southern Miss,0,,CSTV,10/28/2006 19:30,T,,,
0,Wyoming,TCU,0,,The mtn.,10/28/2006 19:30,T,,,
0,Tennessee,South Carolina,0,,ESPN HD,10/28/2006 19:45,T,,,
0,Idaho,Hawai'i,0,,Oceanic PPVVandal Sports,10/28/2006 23:59,T,,,
0,Connecticut,Rutgers,0,,ESPN HD,10/29/2006 20:00,T,,,
0,UAB,SMU,0,,ESPN2 HD,10/31/2006 19:30,T,,,
0,Fresno St.,Boise St.,0,,ESPN2 HD,11/1/2006 20:00,T,,,
0,West Virginia,Louisville,0,,ESPN HD,11/2/2006 19:30,T,,,
0,Air Force,Army,0,,ESPN2 HD,11/3/2006 20:00,T,,,
0,Penn St.,Wisconsin,0,,ABC HD,11/4/2006 12:00,T,,,
0,Ball St.,Michigan,0,,ESPNU,11/4/2006 12:00,T,,,
0,Northwestern,Iowa,0,,ESPN Plus,11/4/2006 12:00,T,,,
0,Indiana,Wisconsin,0,,ESPN360,11/4/2006 12:00,W,,,
0,Pittsburgh,USF,0,,ESPN Plus,11/4/2006 12:00,T,,,
0,Missouri,Nebraska,0,,ABC,11/4/2006 12:00,T,,,
0,Baylor,Texas Tech,0,,FSN,11/4/2006 12:00,T,,,
0,Maryland,Clemson,0,,ESPN2 HD,11/4/2006 12:00,T,,,
0,Virginia,Florida St.,0,,Raycom/LF Sports,11/4/2006 12:00,T,,,
0,Florida,Vanderbilt,0,,Lincoln Financial Sports,11/4/2006 12:30,T,,,
0,Mississippi St.,Alabama,0,,Lincoln Financial Sports,11/4/2006 12:30,T,,,
0,Bowling Green,Akron,0,,,11/4/2006 13:00,W,,,
0,Ohio,Eastern Michigan,0,,,11/4/2006 13:00,W,,,
0,Kent St.,Buffalo,0,,,11/4/2006 13:00,W,,,
0,Arkansas St.,Auburn,0,,CSS PPV,11/4/2006 14:30,T,,,
0,North Carolina,Notre Dame,0,,NBC HD,11/4/2006 14:30,T,,,
0,TCU,UNLV,0,,Versus,11/4/2006 15:00,T,,,
0,San Diego St.,Wyoming,0,,The mtn.,11/4/2006 15:00,T,,,
0,Hawai'i,Utah St.,0,,ESPN Plus,11/4/2006 15:00,T,,,
0,San Jose St.,New Mexico St.,0,,,11/4/2006 15:30,W,,,
0,FAU,Middle Tennessee,0,,CSS,11/4/2006 15:30,T,,,
0,LSU,Tennessee,0,,CBS HD,11/4/2006 15:30,T,,,
0,Miami (OH),Western Michigan,0,,Comcast Local,11/4/2006 15:30,T,,,
0,Tulsa,Houston,0,,CSTV,11/4/2006 15:30,T,,,
0,Ohio St.,Illinois,0,,ESPN2 HD,11/4/2006 15:30,T,,,
0,Purdue,Michigan St.,0,,ESPNU,11/4/2006 15:30,T,,,
0,Kansas St.,Colorado,0,,FSN,11/4/2006 15:30,T,,,
0,East Carolina,UCF,0,,WITN,11/4/2006 16:00,T,,,
0,UL-Lafayette,Troy,0,,ESPN Plus,11/4/2006 16:00,T,,,
0,Nevada,Idaho,0,,KREN,11/4/2006 17:00,T,,,
0,BYU,Colorado St.,0,,The mtn.,11/4/2006 18:30,T,,,
0,Oklahoma St.,Texas,0,,TBS,11/4/2006 19:00,T,,,
0,Boston College,Wake Forest,0,,ESPN2 HD,11/4/2006 19:00,T,,,
0,Georgia Tech,NC State,0,,ESPNU,11/4/2006 19:00,T,,,
0,Tulane,Marshall,0,,CSTV,11/4/2006 19:30,T,,,
0,Arkansas,South Carolina,0,,ESPN HD,11/4/2006 19:45,T,,,
0,Rice,UTEP,0,,Time Warner-El Paso,11/4/2006 20:00,T,,,
0,Virginia Tech,Miami (FL),0,,ABC,11/4/2006 20:00,T,,,
0,Oklahoma,Texas A&M,0,,ABC HD,11/4/2006 20:00,T,,,
0,Southern Miss,Memphis,0,,ESPN HD,11/5/2006 20:00,T,,,
0,Toledo,Northern Illinois,0,,ESPN2 HD,11/7/2006 19:30,T,,,
0,Buffalo,Akron,0,,ESPNU,11/9/2006 18:00,T,,,
0,Louisville,Rutgers,0,,ESPN HD,11/9/2006 19:30,T,,,
0,Wyoming,BYU,0,,CSTV,11/9/2006 20:00,T,,,
0,Western Michigan,Central Michigan,0,,Comcast Local,11/10/2006 19:00,T,,,
0,UTEP,UAB,0,,ESPN2 HD,11/10/2006 20:00,T,,,
0,Wisconsin,Iowa,0,,ESPN HD,11/11/2006 12:00,T,,,
0,Minnesota,Michigan St.,0,,ESPNU,11/11/2006 12:00,T,,,
0,Purdue,Illinois,0,,ESPN Plus,11/11/2006 12:00,T,,,
0,Cincinnati,West Virginia,0,,ESPN2 HD,11/11/2006 12:00,T,,,
0,Syracuse,USF,0,,ESPN Plus,11/11/2006 12:00,T,,,
0,Georgia Tech,North Carolina,0,,Raycom/LF Sports,11/11/2006 12:00,T,,,
0,NC State,Clemson,0,,Raycom/LF Sports,11/11/2006 12:00,T,,,
0,Baylor,Oklahoma St.,0,,FSN,11/11/2006 12:30,T,,,
0,Georgia,Auburn,0,,Lincoln Financial Sports,11/11/2006 12:30,T,,,
0,Marshall,East Carolina,0,,WOWKWITN,11/11/2006 13:00,T,,,
0,Southern Miss,Tulane,0,,,11/11/2006 14:00,W,,,
0,Colorado St.,Utah,0,,Versus,11/11/2006 14:00,T,,,
0,Houston,SMU,0,,,11/11/2006 15:00,W,,,
0,Rice,Tulsa,0,,,11/11/2006 15:00,W,,,
0,Ohio St.,Northwestern,0,,ABC HD,11/11/2006 15:30,T,,,
0,Michigan,Indiana,0,,ESPN HD,11/11/2006 15:30,T,,,
0,Temple,Penn St.,0,,ESPN Plus,11/11/2006 15:30,T,,,
0,Nebraska,Texas A&M,0,,ABC,11/11/2006 15:30,T,,,
0,Pittsburgh,Connecticut,0,,ESPN Plus,11/11/2006 15:30,T,,,
0,Miami (FL),Maryland,0,,ABC,11/11/2006 15:30,T,,,
0,Kent St.,Virginia Tech,0,,ESPNU,11/11/2006 15:30,T,,,
0,South Carolina,Florida,0,,CBS HD,11/11/2006 15:30,T,,,
0,Notre Dame,Air Force,0,,CSTV,11/11/2006 16:00,T,,,
0,Utah St.,Nevada,0,,,11/11/2006 16:00,W,,,
0,New Mexico St.,Fresno St.,0,,,11/11/2006 17:00,W,,,
0,TCU,New Mexico,0,,The mtn.,11/11/2006 17:30,T,,,
0,Boise St.,San Jose St.,0,,KTVB,11/11/2006 18:00,T,,,
0,UL-Monroe,FIU,0,,ESPN Plus,11/11/2006 19:00,T,,,
0,Tennessee,Arkansas,0,,ESPN2 HD,11/11/2006 19:00,T,,,
0,Duke,Boston College,0,,ESPNU,11/11/2006 19:00,T,,,
0,Texas Tech,Oklahoma,0,,FSN,11/11/2006 19:00,T,,,
0,Alabama,LSU,0,,ESPN HD,11/11/2006 19:45,T,,,
0,Texas,Kansas St.,0,,ABC HD,11/11/2006 20:00,T,,,
0,Wake Forest,Florida St.,0,,ABC HD,11/11/2006 20:00,T,,,
0,UCF,Memphis,0,,CSTV,11/11/2006 20:00,T,,,
0,UNLV,San Diego St.,0,,The mtn.,11/11/2006 21:00,T,,,
0,Louisiana Tech,Hawai'i,0,,Oceanic PPV,11/11/2006 23:00,T,,,
0,Ball St.,Toledo,0,,ESPN2 HD,11/14/2006 19:30,T,,,
0,Miami (OH),Bowling Green,0,,ESPN2 HD,11/15/2006 19:30,T,,,
0,Akron,Ohio,0,,ESPNU,11/16/2006 19:30,T,,,
0,West Virginia,Pittsburgh,0,,ESPN HD,11/16/2006 19:30,T,,,
0,Eastern Michigan,Kent St.,0,,,11/17/2006 18:00,W,,,
0,Central Michigan,Northern Illinois,0,,ESPNU,11/17/2006 20:00,T,,,
0,Western Carolina,Florida,0,,Sun Sports PPV,11/18/2006 12:00,T,,,
0,Connecticut,Syracuse,0,,ESPN Plus,11/18/2006 12:00,T,,,
0,Oklahoma,Baylor,0,,FSN HD,11/18/2006 12:00,T,,,
0,Maryland,Boston College,0,,ESPN HD,11/18/2006 12:00,T,,,
0,Miami (FL),Virginia,0,,Raycom/LF Sports,11/18/2006 12:00,T,,,
0,NC State,North Carolina,0,,Raycom/LF Sports,11/18/2006 12:00,T,,,
0,Illinois,Northwestern,0,,ESPN360,11/18/2006 12:00,W,,,
0,Michigan St.,Penn St.,0,,ESPN2 HD,11/18/2006 12:00,T,,,
0,Indiana,Purdue,0,,ESPN Classic,11/18/2006 12:00,T,,,
0,Buffalo,Wisconsin,0,,ESPNU,11/18/2006 12:00,T,,,
0,Iowa,Minnesota,0,,ESPN Plus,11/18/2006 12:00,T,,,
0,Temple,Navy,0,,CSTV,11/18/2006 12:30,T,,,
0,Tennessee,Vanderbilt,0,,Lincoln Financial Sports,11/18/2006 12:30,T,,,
0,Middle Tennessee,South Carolina,0,,CSS PPV,11/18/2006 12:30,T,,,
0,UCF,Tulane,0,,,11/18/2006 14:00,W,,,
0,Western Michigan,Florida St.,0,,ESPN360,11/18/2006 14:00,W,,,
0,Army,Notre Dame,0,,NBC HD,11/18/2006 14:30,T,,,
0,Tulsa,SMU,0,,,11/18/2006 15:00,W,,,
0,East Carolina,Rice,0,,WITN,11/18/2006 15:00,T,,,
0,Utah St.,Boise St.,0,,KTVB,11/18/2006 15:00,T,,,
0,Auburn,Alabama,0,,CBS HD,11/18/2006 15:30,T,,,
0,Michigan,Ohio St.,0,,ABC HD,11/18/2006 15:30,T,,,
0,Kansas St.,Kansas,0,,FSN,11/18/2006 15:30,T,,,
0,San Diego St.,TCU,0,,Versus,11/18/2006 16:00,T,,,
0,New Mexico,BYU,0,,The mtn.,11/18/2006 16:00,T,,,
0,UTEP,Marshall,0,,Time Warner-El Paso,11/18/2006 16:30,T,,,
0,Idaho,Fresno St.,0,,,11/18/2006 17:00,W,,,
0,Arkansas St.,Troy,0,,ESPN Plus,11/18/2006 19:00,T,,,
0,Virginia Tech,Wake Forest,0,,ESPN2 HD,11/18/2006 19:00,T,,,
0,USF,Louisville,0,,ESPNU,11/18/2006 19:30,T,,,
0,Utah,Air Force,0,,The mtn.,11/18/2006 19:30,T,,,
0,Rutgers,Cincinnati,0,,ESPN HD,11/18/2006 19:45,T,,,
0,UAB,Southern Miss,0,,CSTV,11/18/2006 20:00,T,,,
0,Ole Miss,LSU,0,,TigerVision PPV,11/18/2006 20:00,T,,,
0,Nevada,Louisiana Tech,0,,KREN,11/18/2006 20:00,T,,,
0,San Jose St.,Hawai'i,0,,Oceanic PPV,11/18/2006 23:00,T,,,
0,Bowling Green,Toledo,0,,ESPN2 HD,11/21/2006 19:00,T,,,
0,Boston College,Miami (FL),0,,ESPN HD,11/23/2006 20:00,T,,,
0,Northern Illinois,Eastern Michigan,0,,Comcast Local,11/24/2006 11:00,T,,,
0,Ohio,Miami (OH),0,,ESPNU,11/24/2006 12:00,T,,,
0,Kent St.,Central Michigan,0,,,11/24/2006 12:00,W,,,
0,Texas A&M,Texas,0,,ABC HD,11/24/2006 12:00,T,,,
0,Central Michigan,Buffalo,0,,,11/24/2006 13:00,W,,,
0,LSU,Arkansas,0,,CBS HD,11/24/2006 14:30,T,,,
0,Tulane,Tulsa,0,,,11/24/2006 15:00,W,,,
0,Colorado,Nebraska,0,,ABC HD,11/24/2006 15:30,T,,,
0,Western Michigan,Akron,0,,ESPNU,11/24/2006 15:30,T,,,
0,Air Force,UNLV,0,,The mtn.,11/24/2006 19:00,T,,,
0,Fresno St.,Louisiana Tech,0,,ESPN2 HD,11/24/2006 21:00,T,,,
0,Kansas,Missouri,0,,ABC,11/25/2006 12:00,T,,,
0,USF,West Virginia,0,,ESPN2 HD,11/25/2006 12:00,T,,,
0,Cincinnati,Connecticut,0,,ESPN Plus,11/25/2006 12:00,T,,,
0,Syracuse,Rutgers,0,,ESPNU,11/25/2006 12:00,T,,,
0,Florida,Florida St.,0,,ABC,11/25/2006 12:00,T,,,
0,South Carolina,Clemson,0,,ESPN HD,11/25/2006 12:00,T,,,
0,Virginia,Virginia Tech,0,,Raycom/LF Sports,11/25/2006 12:00,T,,,
0,Duke,N. Carolina,0,,ESPN360,11/25/2006 12:00,W,,,
0,UAB,UCF,0,,CSS,11/25/2006 12:00,T,,,
0,Kentucky,Tennessee,0,,Lincoln Financial Sports,11/25/2006 12:30,T,,,
0,Oklahoma,Oklahoma St.,0,,FSN HD,11/25/2006 14:30,T,,,
0,SMU,Rice,0,,,11/25/2006 15:00,W,,,
0,New Mexico St.,Utah St.,0,,AggieVision,11/25/2006 15:00,T,,,
0,Troy,Middle Tennessee,0,,ESPN Plus,11/25/2006 15:30,T,,,
0,Georgia Tech,Georgia,0,,CBS HD,11/25/2006 15:30,T,,,
0,BYU,Utah,0,,The mtn.,11/25/2006 15:30,T,,,
0,Louisville,Pittsburgh,0,,ESPN HD,11/25/2006 15:30,T,,,
0,Boise St.,Nevada,0,,ESPN2 HD,11/25/2006 16:15,T,,,
0,San Jose St.,Idaho,0,,,11/25/2006 17:00,W,,,
0,TCU,Colorado St.,0,,The mtn.,11/25/2006 19:00,T,,,
0,East Carolina,NC State,0,,ESPNU,11/25/2006 19:00,T,,,
0,Marshall,Southern Miss,0,,CSTV,11/25/2006 19:30,T,,,
0,Wake Forest,Maryland,0,,ESPN HD,11/25/2006 19:45,T,,,
0,Memphis,UTEP,0,,Time Warner-El Paso,11/25/2006 21:00,T,,,
0,Purdue,Hawai'i,0,,Oceanic PPV,11/25/2006 23:00,T,,,
0,MAC ChampionshipCentral Michigan,Ohio(at Detroit,0,, MI),ESPN HD,11/30/2006 19:30,T,,
0,Conference USA ChampionshipSouthern Miss,Houston,0,,ESPN2 HD,12/1/2006 20:00,T,,,
0,Connecticut,Louisville,0,,ESPN HD,12/2/2006 12:00,T,,,
0,Louisiana Tech,New Mexico St.,0,,,12/2/2006 15:00,W,,,
0,Air Force,TCU,0,,CSTV,12/2/2006 15:30,T,,,
0,Fresno St.,San Jose St.,0,,KFRECSN West,12/2/2006 16:00,T,,,
0,Troy,FIU,0,,CSS,12/2/2006 19:00,T,,,
0,Rutgers,West Virginia,0,,ESPN HD,12/2/2006 19:45,T,,,
0,Colorado St.,San Diego St.,0,,The mtn.,12/2/2006 20:00,T,,,
0,Oregon St.,Hawai'i,0,,ESPN,12/2/2006 23:59,T,,,
