Off Site,Away,Home,City,State,network,time,mediaindicator
,Vanderbilt,Mississippi St.,,,CSS PPV,10/11/2008 14:30,T
,Nebraska,Texas Tech,,,FSN HD,10/11/2008 15:00,T
,Purdue,Ohio St.,,,ABC HD,10/11/2008 15:30,T
,Michigan St.,Northwestern,,,ESPN2 HD,10/11/2008 15:30,T
,Notre Dame,North Carolina,,,ABC HD,10/11/2008 15:30,T
,Tennessee,Georgia,,,CBS HD,10/11/2008 15:30,T
,Western Michigan,Buffalo,,,Time Warner-NY,10/11/2008 15:30,T
,TCU,Colorado St.,,,CBS College Sports,10/11/2008 15:30,T
,UCF,Miami (FL),,,ESPNU HD,10/11/2008 15:45,T
,New Mexico St.,Nevada,,,AggieVision,10/11/2008 16:00,T
,Miami (OH),Northern Illinois,,,CSN Chicago,10/11/2008 16:00,T
,Temple,Central Michigan,,,Web Video Available,10/11/2008 16:00,W
,Arkansas,Auburn,,,CSS PPV,10/11/2008 17:00,T
,Bowling Green,Akron,,,Web Video Available,10/11/2008 18:00,W
,New Mexico,BYU,,,The mtn.,10/11/2008 18:00,T
,UL-Monroe,Arkansas St.,,,ESPN Plus,10/11/2008 19:00,T
,UL-Lafayette,North Texas,,,Web Video Available,10/11/2008 19:00,W
,Ball St.,Western Kentucky,,,Web Video Available,10/11/2008 19:00,W
,Iowa St.,Baylor,,,FOX College Sports,10/11/2008 19:00,T
,Utah St.,San Jose St.,,,ESPNU HD,10/11/2008 19:30,T
,LSU,Florida,,,CBS HD,10/11/2008 20:00,T
,Oklahoma St.,Missouri,,,ESPN2 HD,10/11/2008 20:00,T
,Boise St.,Southern Miss,,,CBS College Sports,10/11/2008 20:00,T
,Tulsa,SMU,,,Web Video Available,10/11/2008 20:00,W
,Penn St.,Wisconsin,,,ESPN HD,10/11/2008 20:00,T
,Tulane,UTEP,,,Web Video Available,10/11/2008 21:00,W
,Air Force,San Diego St.,,,The mtn.,10/11/2008 21:30,T
,Idaho,Fresno St.,,,KBCI<br>KAIL,10/11/2008 22:00,T
,Louisiana Tech,Hawai'i,,,Oceanic PPV,10/11/2008 23:59,T
,BYU,TCU,,,Versus,10/16/2008 20:00,T
,Hawai'i,Boise St.,,,ESPN HD,10/17/2008 20:00,T
,Baylor,Oklahoma St.,,,,10/18/2008 0:00,N
,Western Michigan,Central Michigan,,,ESPN Plus,10/18/2008 12:00,T
,Miami (OH),Bowling Green,,,ESPN Plus,10/18/2008 12:00,T
,Memphis,East Carolina,,,CSS<br>WITN,10/18/2008 12:00,T
,Purdue,Northwestern,,,ESPN2 HD,10/18/2008 12:00,T
,Wisconsin,Iowa,,,Big Ten Network HD,10/18/2008 12:00,T
,Texas Tech,Texas A&M,,,FSN HD,10/18/2008 12:00,T
,Connecticut,Rutgers,,,ESPNU HD,10/18/2008 12:00,T
,Syracuse,USF,,,Big East Network,10/18/2008 12:00,T
,Georgia Tech,Clemson,,,ESPN HD,10/18/2008 12:00,T
,Wake Forest,Maryland,,,Raycom Sports HD,10/18/2008 12:00,T
,Nebraska,Iowa St.,,,Versus,10/18/2008 12:30,T
,Vanderbilt,Georgia,,,Raycom Sports HD,10/18/2008 12:30,T
,Akron,Eastern Michigan,,,Web Video Available,10/18/2008 13:00,W
,Colorado St.,Utah,,,The mtn.,10/18/2008 14:00,T
,Southern Miss,Rice,,,Web Video Available,10/18/2008 15:00,W
,Ohio St.,Michigan St.,,,ABC HD,10/18/2008 15:30,T
,Kansas,Oklahoma,,,ABC HD,10/18/2008 15:30,T
,North Carolina,Virginia,,,ABC,10/18/2008 15:30,T
,Miami (FL),Duke,,,ESPNU HD,10/18/2008 15:30,T
,Middle Tennessee,Louisville,,,Big East Network,10/18/2008 15:30,T
,Army,Buffalo,,,Time Warner-NY,10/18/2008 15:30,T
,Pittsburgh,Navy,,,CBS College Sports HD,10/18/2008 15:30,T
,Ole Miss,Alabama,,,CBS HD,10/18/2008 15:30,T
,Toledo,Northern Illinois,,,CSN Chicago,10/18/2008 16:00,T
,Utah St.,Nevada,,,Web Video Available,10/18/2008 16:00,W
,Marshall,UAB,,,Web Video Available,10/18/2008 16:00,W
,Michigan,Penn St.,,,ESPN HD,10/18/2008 16:30,T
,San Diego St.,New Mexico,,,The mtn.,10/18/2008 18:00,T
,FAU,Western Kentucky,,,Web Video Available,10/18/2008 19:00,W
,FIU,Troy,,,ESPN Plus,10/18/2008 19:00,T
,North Texas,UL-Monroe,,,Web Video Available,10/18/2008 19:00,W
,Arkansas St.,UL-Lafayette,,,Web Video Available,10/18/2008 19:00,W
,Idaho,Louisiana Tech,,,ESPN Plus,10/18/2008 19:00,T
,Arkansas,Kentucky,,,ESPNU HD,10/18/2008 19:00,T
,Mississippi St.,Tennessee,,,Vol Network PPV,10/18/2008 19:00,T
,Kansas St.,Colorado,,,FSN Regional,10/18/2008 19:00,T
,Florida St.,NC State,,,ESPN HD,10/18/2008 19:30,T
,Houston,SMU,,,Web Video Available,10/18/2008 20:00,W
,UTEP,Tulsa,,,CBS College Sports,10/18/2008 20:00,T
,Indiana,Illinois,,,Big Ten Network HD,10/18/2008 20:00,T
,Missouri,Texas,,,ABC HD,10/18/2008 20:00,T
,Virginia Tech,Boston College,,,ESPN2 HD,10/18/2008 20:00,T
,LSU,South Carolina,,,ESPN HD,10/18/2008 20:00,T
,San Jose St.,New Mexico St.,,,AggieVision,10/18/2008 20:00,T
,Air Force,UNLV,,,The mtn.,10/18/2008 22:00,T
,Ohio,Temple,,,ESPN2 HD,10/21/2008 20:00,T
,Auburn,West Virginia,,,ESPN HD,10/23/2008 19:30,T
,New Mexico,Air Force,,,CBS College Sports HD,10/23/2008 20:00,T
,Boise St.,San Jose St.,,,ESPN2 HD,10/24/2008 21:00,T
,Duke,Vanderbilt,,,,10/25/2008 0:00,N
,Central Michigan,Toledo,,,ESPN Plus,10/25/2008 12:00,T
,Eastern Michigan,Ball St.,,,Web Video Available,10/25/2008 12:00,W
,Cincinnati,Connecticut,,,Big East Network,10/25/2008 12:00,T
,Wake Forest,Miami (FL),,,ESPNU HD,10/25/2008 12:00,T
,Boston College,North Carolina,,,Raycom Sports HD,10/25/2008 12:00,T
,Texas Tech,Kansas,,,ESPN HD,10/25/2008 12:00,T
,Illinois,Wisconsin,,,ESPN2 HD,10/25/2008 12:00,T
,Minnesota,Purdue,,,ESPN Classic,10/25/2008 12:00,T
,Northwestern,Indiana,,,Big Ten Network HD,10/25/2008 12:00,T
,Baylor,Nebraska,,,Versus,10/25/2008 12:30,T
,Kentucky,Florida,,,Raycom Sports HD,10/25/2008 12:30,T
,Louisiana Tech,Army,,,ESPN360,10/25/2008 13:00,W
,UNLV,BYU,,,The mtn.,10/25/2008 14:00,T
,Fresno St.,Utah St.,,,KAIL,10/25/2008 15:00,T
,Rice,Tulane,,,Web Video Available,10/25/2008 15:00,W
,Michigan St.,Michigan,,,ABC HD,10/25/2008 15:30,T
,Oklahoma St.,Texas,,,ABC HD,10/25/2008 15:30,T
,Virginia Tech,Florida St.,,,ABC HD,10/25/2008 15:30,T
,Virginia,Georgia Tech,,,ESPNU HD,10/25/2008 15:30,T
,NC State,Maryland,,,ESPN360,10/25/2008 15:30,W
,USF,Louisville,,,Big East Network,10/25/2008 15:30,T
,Rutgers,Pittsburgh,,,ESPN360,10/25/2008 15:30,W
,SMU,Navy,,,CBS College Sports HD,10/25/2008 15:30,T
,Kent St.,Miami (OH),,,ONN,10/25/2008 15:30,T
,Georgia,LSU,,,CBS HD,10/25/2008 15:30,T
,Bowling Green,Northern Illinois,,,CSN Chicago,10/25/2008 16:00,T
,New Mexico St.,Idaho,,,Altitude,10/25/2008 17:00,T
,Wyoming,TCU,,,The mtn.,10/25/2008 18:00,T
,Colorado,Missouri,,,FSN HD,10/25/2008 18:30,T
,Texas A&M,Iowa St.,,,FOX College Sports,10/25/2008 19:00,T
,FAU,UL-Monroe,,,ESPN Plus,10/25/2008 19:00,T
,Troy,North Texas,,,Web Video Available,10/25/2008 19:00,W
,Middle Tennessee,Mississippi St.,,,ESPNU HD,10/25/2008 19:00,T
,Ole Miss,Arkansas,,,Razorbacks PPV<br>CSS PPV,10/25/2008 19:00,T
,Alabama,Tennessee,,,ESPN HD,10/25/2008 19:45,T
,Penn St.,Ohio St.,,,ABC HD,10/25/2008 20:00,T
,Southern Miss,Memphis,,,CBS College Sports,10/25/2008 20:00,T
,Colorado St.,San Diego St.,,,The mtn.,10/25/2008 21:30,T
,Nevada,Hawai'i,,,KAME<br>Oceanic PPV,10/25/2008 23:59,T
,UCF,Tulsa,,,ESPN HD,10/26/2008 20:00,T
,Buffalo,Ohio,,,ESPNU HD,10/28/2008 19:00,T
,Houston,Marshall,,,ESPN2 HD,10/28/2008 20:00,T
,USF,Cincinnati,,,ESPN HD,10/30/2008 19:30,T
,Missouri,Baylor,,,,11/1/2008 0:00,N
,Colorado,Texas A&M,,,,11/1/2008 0:00,N
,Air Force,Army,,,ESPNU HD,11/1/2008 12:00,T
,West Virginia,Connecticut,,,Big East Network,11/1/2008 12:00,T
,Miami (FL),Virginia,,,Raycom Sports HD,11/1/2008 12:00,T
,Wisconsin,Michigan St.,,,ESPN HD,11/1/2008 12:00,T
,Northwestern,Minnesota,,,ESPN2 HD,11/1/2008 12:00,T
,Central Michigan,Indiana,,,Big Ten Network HD,11/1/2008 12:00,T
,Michigan,Purdue,,,Big Ten Network HD,11/1/2008 12:00,T
,Kansas St.,Kansas,,,FSN HD,11/1/2008 12:30,T
,Auburn,Ole Miss,,,Raycom Sports HD,11/1/2008 12:30,T
,Tulsa,Arkansas,,,Razorbacks PPV,11/1/2008 14:00,T
,Eastern Michigan,Western Michigan,,,Web Video Available,11/1/2008 14:00,W
,Kent St.,Bowling Green,,,Web Video Available,11/1/2008 14:00,W
,San Diego St.,Wyoming,,,The mtn.,11/1/2008 14:00,T
,Fresno St.,Louisiana Tech,,,KAIL,11/1/2008 14:30,T
,Pittsburgh,Notre Dame,,,NBC HD,11/1/2008 14:30,T
,Kentucky,Mississippi St.,,,Big Blue PPV,11/1/2008 14:30,T
,Arkansas St.,Alabama,,,Crimson Tide PPV,11/1/2008 15:00,T
,Hawai'i,Utah St.,,,ESPN Plus,11/1/2008 15:00,T
,Temple,Navy,,,CBS College Sports HD,11/1/2008 15:30,T
,Iowa St.,Oklahoma St.,,,ABC,11/1/2008 15:30,T
,Florida St.,Georgia Tech,,,ABC HD,11/1/2008 15:30,T
,Clemson,Boston College,,,ESPNU HD,11/1/2008 15:30,T
,Duke,Wake Forest,,,ESPN360,11/1/2008 15:30,W
,Iowa,Illinois,,,ABC HD,11/1/2008 15:30,T
,North Texas,Western Kentucky,,,ESPN Plus,11/1/2008 16:30,T
,FIU,UL-Lafayette,,,Web Video Available,11/1/2008 16:30,W
,San Jose St.,Idaho,,,Web Video Available,11/1/2008 17:00,W
,BYU,Colorado St.,,,The mtn.,11/1/2008 18:00,T
,Troy,UL-Monroe,,,Web Video Available,11/1/2008 19:00,W
,Boise St.,New Mexico St.,,,KTVB<br>AggieVision,11/1/2008 19:00,T
,Tennessee,South Carolina,,,ESPN2 HD,11/1/2008 19:00,T
,Louisville,Syracuse,,,ESPNU HD,11/1/2008 19:00,T
,Texas,Texas Tech,,,ABC HD,11/1/2008 20:00,T
,Nebraska,Oklahoma,,,ESPN HD,11/1/2008 20:00,T
,UAB,Southern Miss,,,CSS,11/1/2008 20:00,T
,Tulane,LSU,,,TigerVision PPV,11/1/2008 20:00,T
,TCU,UNLV,,,CBS College Sports,11/1/2008 20:00,T
,Rice,UTEP,,,Web Video Available,11/1/2008 21:00,W
,Utah,New Mexico,,,The mtn.,11/1/2008 21:30,T
,East Carolina,UCF,,,ESPN HD,11/2/2008 20:00,T
,Miami (OH),Buffalo,,,ESPN2 HD,11/4/2008 19:30,T
,Northern Illinois,Ball St.,,,ESPN2 HD,11/5/2008 20:00,T
,Toledo,Akron,,,ESPNU HD,11/5/2008 20:00,T
,Maryland,Virginia Tech,,,ESPN HD,11/6/2008 19:30,T
,TCU,Utah,,,CBS College Sports HD,11/6/2008 20:00,T
,Nevada,Fresno St.,,,ESPN2 HD,11/7/2008 21:00,T
,UT-Martin,Auburn,,,,11/8/2008 0:00,N
,North Texas,FAU,,,,11/8/2008 0:00,N
,Arkansas St.,FIU,,,,11/8/2008 0:00,N
,UL-Monroe,Middle Tennessee,,,,11/8/2008 0:00,N
,Georgia Tech,North Carolina,,,Raycom Sports HD,11/8/2008 12:00,T
,Rutgers,Syracuse,,,ESPNU HD,11/8/2008 12:00,T
,Louisville,Pittsburgh,,,Big East Network,11/8/2008 12:00,T
,Baylor,Texas,,,FSN HD,11/8/2008 12:00,T
,Michigan,Minnesota,,,ESPN HD,11/8/2008 12:00,T
,Ohio St.,Northwestern,,,ESPN2 HD,11/8/2008 12:00,T
,Wisconsin,Indiana,,,Big Ten Network HD,11/8/2008 12:00,T
,Purdue,Michigan St.,,,Big Ten Network HD,11/8/2008 12:00,T
,Georgia,Kentucky,,,Raycom Sports HD,11/8/2008 12:30,T
,Wyoming,Tennessee,,,Vol Network PPV,11/8/2008 13:00,T
,Arkansas,South Carolina,,,Gamecocks PPV,11/8/2008 13:00,T
,Iowa St.,Colorado,,,Versus,11/8/2008 13:30,T
,Bowling Green,Ohio,,,Web Video Available,11/8/2008 14:00,W
,San Diego St.,BYU,,,The mtn.,11/8/2008 14:00,T
,Kansas,Nebraska,,,FSN PPV,11/8/2008 14:30,T
,Army,Rice,,,Web Video Available,11/8/2008 15:00,W
,Memphis,SMU,,,Web Video Available,11/8/2008 15:00,W
,Utah St.,Boise St.,,,KTVB,11/8/2008 15:00,T
,Southern Miss,UCF,,,Web Video Available,11/8/2008 15:30,W
,Marshall,East Carolina,,,CBS College Sports,11/8/2008 15:30,T
,Penn St.,Iowa,,,ABC HD,11/8/2008 15:30,T
,NC State,Duke,,,ESPN360,11/8/2008 15:30,W
,Oklahoma,Texas A&M,,,ABC,11/8/2008 15:30,T
,Clemson,Florida St.,,,ABC HD,11/8/2008 15:30,T
,Virginia,Wake Forest,,,ESPNU HD,11/8/2008 15:30,T
,Western Kentucky,Troy,,,CSS,11/8/2008 15:30,T
,Alabama,LSU,,,CBS HD,11/8/2008 15:30,T
,Hawai'i,New Mexico St.,,,Oceanic PPV<br>AggieVision,11/8/2008 16:00,T
,Colorado St.,Air Force,,,The mtn.,11/8/2008 18:00,T
,UTEP,UL-Lafayette,,,ESPN Plus,11/8/2008 19:00,T
,Florida,Vanderbilt,,,ESPN2 HD,11/8/2008 19:00,T
,Cincinnati,West Virginia,,,ESPNU HD,11/8/2008 19:00,T
,Kansas St.,Missouri,,,FSN HD,11/8/2008 19:00,T
,Oklahoma St.,Texas Tech,,,ABC HD,11/8/2008 20:00,T
,Notre Dame,Boston College,,,ESPN HD,11/8/2008 20:00,T
,Tulane,Houston,,,CBS College Sports,11/8/2008 20:00,T
,Louisiana Tech,San Jose St.,,,Web Video Available,11/8/2008 20:00,W
,New Mexico,UNLV,,,The mtn.,11/8/2008 22:00,T
,Ball St.,Miami (OH),,,ESPN2 HD,11/11/2008 19:00,T
,Central Michigan,Northern Illinois,,,ESPN2 HD,11/12/2008 20:00,T
,Temple,Kent St.,,,ESPN360,11/12/2008 20:00,W
,Buffalo,Akron,,,ESPNU HD,11/13/2008 19:00,T
,Virginia Tech,Miami (FL),,,ESPN HD,11/13/2008 19:30,T
,Wyoming,UNLV,,,CBS College Sports HD,11/13/2008 21:00,T
,Cincinnati,Louisville,,,ESPN2 HD,11/14/2008 20:00,T
,Texas A&M,Baylor,,,,11/15/2008 0:00,N
,UL-Monroe,Ole Miss,,,,11/15/2008 0:00,N
,UL-Lafayette,FAU,,,,11/15/2008 0:00,N
,Utah St.,Louisiana Tech,,,,11/15/2008 0:00,N
,Rutgers,USF,,,Big East Network,11/15/2008 12:00,T
,Duke,Clemson,,,Raycom Sports HD,11/15/2008 12:00,T
,Ohio St.,Illinois,,,ESPN HD,11/15/2008 12:00,T
,Northwestern,Michigan,,,ESPN2 HD,11/15/2008 12:00,T
,Indiana,Penn St.,,,Big Ten Network HD,11/15/2008 12:00,T
,Purdue,Iowa,,,Big Ten Network HD,11/15/2008 12:00,T
,Texas,Kansas,,,FSN HD,11/15/2008 12:30,T
,Georgia,Auburn,,,Raycom Sports HD,11/15/2008 12:30,T
,Middle Tennessee,Western Kentucky,,,CSS,11/15/2008 13:00,T
,New Mexico,Colorado St.,,,The mtn.,11/15/2008 14:00,T
,Toledo,Western Michigan,,,FOX Sports Regional,11/15/2008 14:00,T
,East Carolina,Southern Miss,,,WITN,11/15/2008 15:00,T
,UAB,Tulane,,,Web Video Available,11/15/2008 15:00,W
,Minnesota,Wisconsin,,,ABC HD,11/15/2008 15:30,T
,North Carolina,Maryland,,,ABC HD,11/15/2008 15:30,T
,Wake Forest,NC State,,,ESPNU HD,11/15/2008 15:30,T
,Nebraska,Kansas St.,,,FSN PPV,11/15/2008 15:30,T
,South Carolina,Florida,,,CBS HD,11/15/2008 15:30,T
,BYU,Air Force,,,CBS College Sports,11/15/2008 15:30,T
,San Jose St.,Nevada,,,Web Video Available,11/15/2008 16:00,W
,UCF,Marshall,,,CSS,11/15/2008 16:30,T
,Boise St.,Idaho,,,KTVB,11/15/2008 17:00,T
,New Mexico St.,Fresno St.,,,AggieVision,11/15/2008 17:00,T
,Missouri,Iowa St.,,,FSN HD,11/15/2008 18:30,T
,Connecticut,Syracuse,,,ESPNU HD,11/15/2008 19:00,T
,Mississippi St.,Alabama,,,ESPN HD,11/15/2008 19:45,T
,Vanderbilt,Kentucky,,,ESPN2 HD,11/15/2008 20:00,T
,Troy,LSU,,,TigerVision PPV,11/15/2008 20:00,T
,Utah,San Diego St.,,,The mtn.,11/15/2008 20:00,T
,Oklahoma St.,Colorado,,,ABC HD,11/15/2008 20:00,T
,Tulsa,Houston,,,CBS College Sports,11/15/2008 20:00,T
,Boston College,Florida St.,,,ABC HD,11/15/2008 20:00,T
,SMU,UTEP,,,Web Video Available,11/15/2008 21:00,W
,Northern Illinois,Kent St.,,,Web Video Available,11/18/2008 19:00,W
,Ball St.,Central Michigan,,,ESPN2 HD,11/19/2008 19:00,T
,Miami (FL),Georgia Tech,,,ESPN HD,11/20/2008 19:30,T
,Buffalo,Bowling Green,,,BCSN,11/21/2008 18:00,T
,Miami (OH),Toledo,,,Web Video Available,11/21/2008 19:00,W
,Fresno St.,San Jose St.,,,ESPN2 HD,11/21/2008 21:30,T
,Arkansas,Mississippi St.,,,,11/22/2008 0:00,N
,North Texas,Middle Tennessee,,,,11/22/2008 0:00,N
,FIU,UL-Monroe,,,,11/22/2008 0:00,N
,NC State,North Carolina,,,Raycom Sports HD,11/22/2008 12:00,T
,Clemson,Virginia,,,Raycom Sports HD,11/22/2008 12:00,T
,Michigan,Ohio St.,,,ABC HD,11/22/2008 12:00,T
,Indiana,Purdue,,,ESPN2 HD,11/22/2008 12:00,T
,West Virginia,Louisville,,,ESPN HD,11/22/2008 12:00,T
,Army,Rutgers,,,Big East Network,11/22/2008 12:00,T
,Tennessee,Vanderbilt,,,Raycom Sports HD,11/22/2008 12:30,T
,Eastern Michigan,Temple,,,Web Video Available,11/22/2008 13:00,W
,Akron,Ohio,,,Web Video Available,11/22/2008 13:00,W
,UCF,Memphis,,,Web Video Available,11/22/2008 13:00,W
,Colorado St.,Wyoming,,,The mtn. HD,11/22/2008 14:00,T
,Syracuse,Notre Dame,,,NBC HD,11/22/2008 14:30,T
,FAU,Arkansas St.,,,ESPN Plus,11/22/2008 15:00,T
,Tulane,Tulsa,,,Web Video Available,11/22/2008 15:00,W
,UTEP,Houston,,,Web Video Available,11/22/2008 15:30,W
,Marshall,Rice,,,CBS College Sports,11/22/2008 15:30,T
,Michigan St.,Penn St.,,,ABC HD,11/22/2008 15:30,T
,Cal-Poly,Wisconsin,,,Big Ten Network HD,11/22/2008 15:30,T
,Illinois,Northwestern,,,Big Ten Network HD,11/22/2008 15:30,T
,Boston College,Wake Forest,,,ABC HD,11/22/2008 15:30,T
,Iowa St.,Kansas St.,,,FOX College Sports,11/22/2008 15:30,T
,Air Force,TCU,,,Versus,11/22/2008 15:30,T
,Ole Miss,LSU,,,CBS HD,11/22/2008 15:30,T
,Louisiana Tech,New Mexico St.,,,ESPN Plus,11/22/2008 16:00,T
,Boise St.,Nevada,,,ESPN2<br>KTVB,11/22/2008 16:00,T
,BYU,Utah,,,The mtn. HD,11/22/2008 18:00,T
,UL-Lafayette,Troy,,,Web Video Available,11/22/2008 19:00,W
,Iowa,Minnesota,,,Big Ten Network,11/22/2008 19:00,T
,East Carolina,UAB,,,CSS<br>WITN,11/22/2008 19:00,T
,Pittsburgh,Cincinnati,,,ESPN2 HD,11/22/2008 19:15,T
,Florida St.,Maryland,,,ESPN HD,11/22/2008 19:45,T
,Texas Tech,Oklahoma,,,ABC HD,11/22/2008 20:00,T
,UNLV,San Diego St.,,,CBS College Sports,11/22/2008 20:00,T
,Idaho,Hawai'i,,,KBCI<br>Oceanic PPV,11/22/2008 23:00,T
,Connecticut,USF,,,ESPN HD,11/23/2008 20:00,T
,Ball St.,Western Michigan,,,ESPN2 HD,11/25/2008 19:00,T
,Navy,Northern Illinois,,,ESPN Classic,11/25/2008 19:00,T
,Texas A&M,Texas,,,ESPN HD,11/27/2008 20:00,T
,West Virginia,Pittsburgh,,,ABC HD,11/28/2008 12:00,T
,Ohio,Miami (OH),,,ESPNU,11/28/2008 12:30,T
,Mississippi St.,Ole Miss,,,Raycom Sports HD,11/28/2008 12:30,T
,Central Michigan,Eastern Michigan,,,Web Video Available,11/28/2008 13:00,W
,Akron,Temple,,,Web Video Available,11/28/2008 13:00,W
,UTEP,East Carolina,,,CBS College Sports,11/28/2008 13:00,T
,LSU,Arkansas,,,CBS HD,11/28/2008 14:30,T
,Bowling Green,Toledo,,,ESPN Classic,11/28/2008 15:30,T
,Colorado,Nebraska,,,ABC HD,11/28/2008 15:30,T
,Fresno St.,Boise St.,,,ESPN2 HD,11/28/2008 18:00,T
,Tulsa,Marshall,,,,11/29/2008 0:00,N
,FIU,FAU,,,,11/29/2008 0:00,N
,Georgia Tech,Georgia,,,CBS HD,11/29/2008 12:00,T
,Syracuse,Cincinnati,,,Big East Network,11/29/2008 12:00,T
,Virginia,Virginia Tech,,,ESPN HD,11/29/2008 12:00,T
,South Carolina,Clemson,,,ESPN2 HD,11/29/2008 12:00,T
,Miami (FL),NC State,,,Raycom Sports HD,11/29/2008 12:00,T
,Arkansas St.,North Texas,,,Web Video Available,11/29/2008 14:00,W
,Nevada,Louisiana Tech,,,ESPN Plus,11/29/2008 14:30,T
,New Mexico St.,Utah St.,,,AggieVision,11/29/2008 15:00,T
,Southern Miss,SMU,,,Web Video Available,11/29/2008 15:00,W
,UAB,UCF,,,Web Video Available,11/29/2008 15:30,W
,Houston,Rice,,,CBS College Sports,11/29/2008 15:30,T
,Tulane,Memphis,,,CSS,11/29/2008 15:30,T
,Florida,Florida St.,,,ABC HD,11/29/2008 15:30,T
,Maryland,Boston College,,,ABC HD,11/29/2008 15:30,T
,North Carolina,Duke,,,ESPNU HD,11/29/2008 15:30,T
,Baylor,Texas Tech,,,Versus,11/29/2008 15:30,T
,Auburn,Alabama,,,CBS HD,11/29/2008 15:30,T
,Kentucky,Tennessee,,,ESPN2 HD,11/29/2008 18:30,T
,Vanderbilt,Wake Forest,,,ESPNU HD,11/29/2008 19:00,T
,Oklahoma,Oklahoma St.,,,ABC HD,11/29/2008 20:00,T
,Washington St.,Hawai'i,,,Oceanic PPV,11/29/2008 23:00,T
,Middle Tennessee,UL-Lafayette,,,ESPN Plus,12/3/2008 19:00,T
,Louisville,Rutgers,,,ESPN HD,12/4/2008 19:30,T
,Western Kentucky,FIU,,,,12/6/2008 0:00,N
,Pittsburgh,Connecticut,,,ESPN HD,12/6/2008 12:00,T
,C-USA Championship<br>East Carolina,Tulsa,,,ESPN2 HD,12/6/2008 12:00,T
,Arkansas St.,Troy,,,ESPN Plus,12/6/2008 19:00,T
,USF,West Virginia,,,ESPN2 HD,12/6/2008 20:00,T
,Cincinnati,Hawai'i,,,ESPN2 HD,12/6/2008 23:30,T
